year,month,taxa,species_portuguese,species_english,species_sci,production_kg
2000,4,Teleósteos,Gordinho,Angelfish,Pomacanthus arcuatus,2738
2000,4,Teleósteos,Guaivira,Jack,Oligoplites spp.,3180
2000,4,Teleósteos,Linguado,Flatfish,Paralichthys spp.,36854
2000,4,Teleósteos,Linguado-areia,Flatfish,NA,49514
2000,4,Teleósteos,Linguado-vermelho,Linguado-vermelho,NA,2663
2000,4,Teleósteos,Maria-luiza,Maria-luiza,NA,1700
2000,4,Teleósteos,Maria-mole,Maria-mole,Cynoscion guatucupa,67640
2000,4,Teleósteos,Meca,Meca,NA,6910
2000,4,Teleósteos,Merluza,Hake,Merluccius hubbsi,19100
2000,4,Teleósteos,Namorado,Namorado,Pseudopercis spp.,380
2000,4,Teleósteos,Palombeta,Leerfish,Chloroscombrus chrysurus,129314
2000,4,Teleósteos,Pampo,Pampo,Trachinotus spp.,20
2000,4,Teleósteos,Pargo-rosa,Common sea bream,Pagrus pagrus,1598
2000,4,Teleósteos,Peixe-lua,Ocean sunfish,Mola mola,36
2000,4,Teleósteos,Peixe-porco,Angular roughshark,Oxynotus centrina,15775
2000,4,Teleósteos,Peixe-sapo,Anglerfish,Lophius gastrophysus,37906
2000,4,Teleósteos,Pescada,Weakfish,Cynoscion spp.,150260
2000,4,Teleósteos,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,101
2000,4,Teleósteos,Pescada-branca,Weakfish,Cynoscion leiarchus,772
2000,4,Teleósteos,Pescadinha-real,Bangamary,Macrodon ancylodon,71144
2000,4,Teleósteos,Prego,Prego,NA,310
2000,4,Teleósteos,Roncador,Barred grunt,Conodon nobilis,480
2000,4,Teleósteos,Sardinha-cascuda,Blackbill sprat,Harengula clupeola,10000
2000,4,Teleósteos,Sardinha-lage,Atlantic thread herring,Opisthonema oglinum,1748513
2000,4,Teleósteos,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,716353
2000,4,Teleósteos,Sororoca,Sororoca,Scomberomorus,1936
2000,4,Teleósteos,Tainha,Mullet,Mugil spp.,62925
2000,4,Teleósteos,Tira-vira,Brazilian flathead,Percophis brasiliensis,5590
2000,4,Teleósteos,Trilha,Argentine goatfish,Mullus argentinae,3815
2000,4,Teleósteos,Xaréu,Black cavalli,Caranx hippos,60
2000,4,Teleósteos,Xixarro,Jack mackerel,Trachurus lathami,5000
2000,5,Crustáceos,Camarão-barba-ruça,Shrimp,Artemesia longinaris,37180
2000,5,Crustáceos,Camarão-branco,Camarão-branco,Litopenaeus schimitti,2256
2000,5,Crustáceos,Camarão-cristalino,Shrimp,NA,37100
2000,5,Crustáceos,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,8643
2000,5,Crustáceos,Camarão-santana,Shrimp,Pleoticus muelleri,26470
2000,5,Crustáceos,Camarão-santana + barba-ruca,Camarão-santana + barba-ruca,NA,75836
2000,5,Crustáceos,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,61674
2000,5,Crustáceos,Pitú,Pitú,NA,2803
2000,5,Crustáceos,Sapateira,Edible crab,Cancer pagurus,1664
2000,5,Elasmobrânquios,Cação-anequim,Shark,NA,3225
2000,5,Elasmobrânquios,Cação-anjo,Shark,NA,38591
2000,5,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,49259
2000,5,Elasmobrânquios,Cação-baia,Cação-baia,NA,424
2000,5,Elasmobrânquios,Cação-bico-doce,NA,NA,680
2000,5,Elasmobrânquios,Cação-mangona,NA,NA,17
2000,5,Elasmobrânquios,Cação-martelo,Shark,NA,7042
2000,5,Elasmobrânquios,Cações,Shark,Mustelus spp,19036
2000,5,Elasmobrânquios,Caçonete,Shark,NA,42610
2000,5,Elasmobrânquios,Emplastro,Emplastro,NA,27701
2000,5,Elasmobrânquios,Machote,Spinner Shark,NA,625
2000,5,Elasmobrânquios,Raia,Ray,NA,10516
2000,5,Elasmobrânquios,Raia-viola,NA,NA,14558
2000,5,Elasmobrânquios,Raposa,Raposa,NA,737
2000,5,Elasmobrânquios,Ratinho,Ratinho,NA,200
2000,5,Moluscos,Calamar-argentino,Calamar-argentino,Illex argentinus,318
2000,5,Moluscos,Lula,Squid,Loligo sanpaulensis,2037
2000,5,Moluscos,Polvo,Octopus,Octopus spp.,7148
2000,5,Moluscos,Vieira,Great Atlantic scallop,Euvola ziczac,293
2000,5,Não Cadastrado,Mistura,Other fish,NA,306128
2000,5,Não Cadastrado,Residuo,Residuo,NA,93788
2000,5,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,131328
2000,5,Teleósteos,Agulhão,Atlantic saury,Scomberesox saurus,1077
2000,5,Teleósteos,Agulhão-azul,Agulhão-azul,NA,2259
2000,5,Teleósteos,Agulhão-maka,NA,NA,46
2000,5,Teleósteos,Albacora-bandolim,Albacore,Thunnus obesus,4020
2000,5,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,14707
2000,5,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,153126
2000,5,Teleósteos,Atum,Blow goat,Auxis rochei,171458
2000,5,Teleósteos,Bacho,NA,NA,13
2000,5,Teleósteos,Bagre,Couma sea catfish,Sciades couma,22676
2000,5,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,5778
