year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
1998,4,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,2258,787.08
1998,4,Peixe Ósseo,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,348,0
1998,4,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,14232,2886
1998,4,Peixe Ósseo,Bicuda,European barracuda,Sphyraena tome,72,0
1998,4,Peixe Ósseo,Cabrinha,East Atlantic Red Gurnard,Prionotus spp.,317,0
1998,4,Peixe Ósseo,Carapeba,Broad shad,Diapterus auratus,5,8.75
1998,4,Peixe Ósseo,Cascudo,Atlantic searobin,Prionotus punctatus,15,0
1998,4,Peixe Ósseo,Castanha,Argentine croaker,Umbrina canosai,600,0
1998,4,Peixe Ósseo,Cavalinha,American mackerel,Scomber japonicus,36440,0
1998,4,Peixe Ósseo,Chernes agrupados,Chernes agrupados,NA,1901,0
1998,4,Peixe Ósseo,Congro-rosa,Australian Rockling,Genypterus brasiliensis,65,0
1998,4,Peixe Ósseo,Corvina,Bashaw,Micropogonias furnieri,200719,2997.46
1998,4,Peixe Ósseo,Curimbatá,Curimbatá,NA,5,0
1998,4,Peixe Ósseo,Dourado,Common dolphifish,Coryphaena hippurus,238,0
1998,4,Peixe Ósseo,Enchova,Ancho,Pomatomus saltatrix,1229,109
1998,4,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,6671,203.95
1998,4,Peixe Ósseo,Espadarte,Swordfish,Xiphias gladius,37758,0
1998,4,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,30,0
1998,4,Peixe Ósseo,Garoupa,Deady,Epinephelus spp.,943,418.5
1998,4,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,166370,0
1998,4,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,3089,590.98
1998,4,Peixe Ósseo,Linguado,Flatfish,Paralichthys spp.,339,0
1998,4,Peixe Ósseo,Mandi,catfish,NA,28,37.65
1998,4,Peixe Ósseo,Manjuba-de-iguape,anchovy,NA,28075,26188.45
1998,4,Peixe Ósseo,Merluza,Hake,Merluccius hubbsi,517,0
1998,4,Peixe Ósseo,Mistura,Mistura,NA,154563,1442.11
1998,4,Peixe Ósseo,Namorado,Namorado,Pseudopercis spp.,459,0
1998,4,Peixe Ósseo,Nundiá,Nundiá,NA,7,0
1998,4,Peixe Ósseo,Olhete,Amberjack,Seriola lalandi,125,0
1998,4,Peixe Ósseo,Olho-de-boi,Amberjack,NA,125,0
1998,4,Peixe Ósseo,Oveva,Cabezon,Larimus breviceps,128,8.4
1998,4,Peixe Ósseo,Pacu,Pacu,NA,1100,0
1998,4,Peixe Ósseo,Palombeta,Leerfish,Chloroscombrus chrysurus,20000,0
1998,4,Peixe Ósseo,Parati,Mullet,NA,5418,4414.97
