#,year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
244,2017,1,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,23,138
245,2017,1,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,8142,30377.5
246,2017,1,Peixe Ósseo,Linguado,Flatfish,Paralichthys spp.,215,2736
247,2017,1,Peixe Ósseo,Manjuba-chata,anchovy,NA,82,254
248,2017,1,Peixe Ósseo,Manjubas agrupadas,anchovy,NA,11,0
249,2017,1,Peixe Ósseo,Maria-luíza,Croaker,NA,14,140
250,2017,1,Peixe Ósseo,Miraguaia,Miraguaia,NA,556.5,5372
251,2017,1,Peixe Ósseo,Mistura,Mistura,NA,2168.7,5793.33
252,2017,1,Peixe Ósseo,Oveva,Cabezon,Larimus breviceps,3,6
253,2017,1,Peixe Ósseo,Palombeta,Leerfish,Chloroscombrus chrysurus,36,72
254,2017,1,Peixe Ósseo,Pampo,Pampo,Trachinotus spp.,78,203.5
255,2017,1,Peixe Ósseo,Pararê,Pararê,NA,73,252
256,2017,1,Peixe Ósseo,Parati,Mullet,NA,1575,3828.79
257,2017,1,Peixe Ósseo,Pargo-rosa,Common sea bream,Pagrus pagrus,1,0
258,2017,1,Peixe Ósseo,Paru,Paru,NA,4014,27018.17
259,2017,1,Peixe Ósseo,Peixe-voador,Flying fish,Hirundichthys affinis,23,46
260,2017,1,Peixe Ósseo,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,787.7,13181.3
261,2017,1,Peixe Ósseo,Pescada-branca,Weakfish,Cynoscion leiarchus,1920.4,18481.75
262,2017,1,Peixe Ósseo,Pescada-cambucu,Weakfish,NA,16,160
263,2017,1,Peixe Ósseo,Pescada-dentão,Weakfish,NA,187.5,1176.5
264,2017,1,Peixe Ósseo,Pescada-foguete,Weakfish,NA,8717,66896.3
265,2017,1,Peixe Ósseo,Pescadas agrupadas,Weakfish,NA,35,205
266,2017,1,Peixe Ósseo,Porco,Porco,NA,3255,8995
267,2017,1,Peixe Ósseo,Robalo,Snook,Centropomus spp.,504.5,8261
268,2017,1,Peixe Ósseo,Robalo-flecha,Snook,NA,366,10997.57
269,2017,1,Peixe Ósseo,Robalo-peva,Snook,NA,523,6214.25
270,2017,1,Peixe Ósseo,Sabão,Sabão,NA,10,0
271,2017,1,Peixe Ósseo,Saguá,Saguá,NA,75,389
272,2017,1,Peixe Ósseo,Sardinha-bandeira,Brazilian sardinella,NA,33500,10050
273,2017,1,Peixe Ósseo,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,30,210
274,2017,1,Peixe Ósseo,Sargo,Sargo,NA,84,637.5
275,2017,1,Peixe Ósseo,Tainha,Mullet,Mugil spp.,759.5,4769.74
276,2017,1,Peixe Ósseo,Tortinha,Bigtooth corvina,Isopisthus parvipinnis,98,743.5
277,2017,1,Peixe Ósseo,Xaréu,Black cavalli,Caranx hippos,10,20
278,2017,1,,,#N/A,#N/A,0,0
279,2017,2,Crustáceo,Camarão-estuarino,Shrimp,NA,1790.5952,30246.62
280,2017,2,Crustáceo,Camarão-ferrinho,Shrimp,NA,4160,18720
281,2017,2,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,5189.8,141502.63
282,2017,2,Crustáceo,Camarão-sete-barbas,Seabob shrimp,Xiphopenaeus kroyeri,77692.3,941980.7
283,2017,2,Crustáceo,Camarões-rosa,Brown shrimp,NA,262.6,9847.5
284,2017,2,Crustáceo,Caranguejo-uçá,Crab,NA,12903.2959,78825.13
285,2017,2,Crustáceo,Pitú-de-iguape,Crayfish,NA,4.2,1640
286,2017,2,Crustáceo,Siri-azul,Crab,NA,1627.43,20978.9
287,2017,2,Molusco,Berbigão,Cockle,Anomalocardia brasiliana,35580,19569
288,2017,2,Molusco,Mexilhão,Mussel,Perna perna,21.4,256.8
289,2017,2,Molusco,Mexilhão-do-mangue,Mussel,NA,125,1780
290,2017,2,Molusco,Ostra,Oyster,Crassostrea spp.,1498.15,3041
291,2017,2,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,475,10180
292,2017,2,Peixe Cartilaginoso,Cações agrupados,Shark,NA,74.8,372
293,2017,2,Peixe Cartilaginoso,Cambeva,Bronze hammerhead shark,Sphyrna lewini,2,24
294,2017,2,Peixe Cartilaginoso,Raia-manteiga,Raia-manteiga,NA,60,240
295,2017,2,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,151,176.5
296,2017,2,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,136.5,1656
297,2017,2,Peixe Ósseo,Atuns agrupados,Tuna,NA,10,100
298,2017,2,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,483.1,4234.9
299,2017,2,Peixe Ósseo,Bagre-amarelo,Gillbacker sea catfish,Sciades parkeri,494.5,994.5
300,2017,2,Peixe Ósseo,Bagre-branco,Catfish,Sciades proops,610,3214.13
301,2017,2,Peixe Ósseo,Baiacú,trunkfish,NA,1313,11868
302,2017,2,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,1273.8,4199.1
303,2017,2,Peixe Ósseo,Carapeba,Broad shad,Diapterus auratus,117,278.5
304,2017,2,Peixe Ósseo,Caratinga,Mojarra,NA,79,326
305,2017,2,Peixe Ósseo,Cavalas agrupadas,Wahoo,NA,2498,22620
306,2017,2,Peixe Ósseo,Cavalinha,American mackerel,Scomber japonicus,8,48
307,2017,2,Peixe Ósseo,Corvina,Croaker,Micropogonias furnieri,1074.5,4410.45
308,2017,2,Peixe Ósseo,Enchova,Ancho,Pomatomus saltatrix,43,193
309,2017,2,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,28,77
310,2017,2,Peixe Ósseo,Foguera,Foguera,NA,15,135
311,2017,2,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,127,450
312,2017,2,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,4.5,27
313,2017,2,Peixe Ósseo,Gordinho,Angelfish,Pomacanthus arcuatus,13,9
314,2017,2,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,8763,33201.15
315,2017,2,Peixe Ósseo,Lambari,Lambari,NA,2,160
