year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
2014,2,Peixe Ósseo,Oveva,Cabezon,Larimus breviceps,14171.8,15694.93
2014,2,Peixe Ósseo,Palombeta,Leerfish,Chloroscombrus chrysurus,434,586.5
2014,2,Peixe Ósseo,Pampo,Pampo,Trachinotus spp.,1842.2,4247.65
2014,2,Peixe Ósseo,Pampo-galhudo,Pampo-galhudo,NA,98,196
2014,2,Peixe Ósseo,Parambiju,Parambiju,NA,23,260
2014,2,Peixe Ósseo,Pararê,Pararê,NA,35,227.5
2014,2,Peixe Ósseo,Parati,Mullet,NA,12090.6,25144.6
2014,2,Peixe Ósseo,Pargo-rosa,Common sea bream,Pagrus pagrus,2469.3,7656.45
2014,2,Peixe Ósseo,Paru,Paru,NA,1841.45,7684.65
2014,2,Peixe Ósseo,Peixe-prego,Peixe-prego,Macrourus spp.,1920,33240
2014,2,Peixe Ósseo,Peixe-voador,Flying fish,Hirundichthys affinis,76,81
2014,2,Peixe Ósseo,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,1406.6,17180.5
2014,2,Peixe Ósseo,Pescada-banana,Weakfish,NA,388.3,1302.4
2014,2,Peixe Ósseo,Pescada-branca,Weakfish,Cynoscion leiarchus,9846.45,113765.35
2014,2,Peixe Ósseo,Pescada-cambucu,Weakfish,NA,3657.25,46764.65
2014,2,Peixe Ósseo,Pescada-dentão,Weakfish,NA,404.5,3713.15
2014,2,Peixe Ósseo,Pescada-foguete,Weakfish,NA,99840.53,565754.13
2014,2,Peixe Ósseo,Piava,Piava,NA,27,206
2014,2,Peixe Ósseo,Pirajica,Pirajica,Kyphosus spp.,1875,7640.08
2014,2,Peixe Ósseo,Porco,Porco,NA,5686.37,45530.82
2014,2,Peixe Ósseo,Porco-chinelo,Porco-chinelo,NA,1570.3,7600.4
2014,2,Peixe Ósseo,Porco-peludo,Porco-peludo,NA,712,4574.5
2014,2,Peixe Ósseo,Prejereba,Atlantic tripletail,Lobotes surinamensis,732.3,6426.75
2014,2,Peixe Ósseo,Robalo,Snook,Centropomus spp.,1534.37,18398.56
2014,2,Peixe Ósseo,Robalo-flecha,Robalo-flecha,NA,1465.1,36431.35
2014,2,Peixe Ósseo,Robalo-peva,Robalo-peva,NA,7273.96,87384.38
2014,2,Peixe Ósseo,Roncador,Barred grunt,Conodon nobilis,9313,18935
2014,2,Peixe Ósseo,Sabão,Sabão,NA,115,0
2014,2,Peixe Ósseo,Saguá,Saguá,NA,10,0
2014,2,Peixe Ósseo,Salema,Salema,Sarpa salpa,19.5,108.75
2014,2,Peixe Ósseo,Sapo,Sapo,NA,750,3170
2014,2,Peixe Ósseo,Sardinha-bandeira,Brazilian sardinella,NA,33,0
2014,2,Peixe Ósseo,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,75010,108764.5
2014,2,Peixe Ósseo,Sargo,Sargo,NA,140.1,909.1
2014,2,Peixe Ósseo,Sari-sari,Sari-sari,NA,2275.67,7234.65
2014,2,Peixe Ósseo,Savelha,Twaite shad,Brevoortia spp.,5,5
2014,2,Peixe Ósseo,Sernambiguara,Sernambiguara,NA,239.5,766
2014,2,Peixe Ósseo,Sororoca,Sororoca,Scomberomorus,1951.12,16565.14
2014,2,Peixe Ósseo,Tainha,Mullet,Mugil spp.,12340.75,78257.64
2014,2,Peixe Ósseo,Tilápia,Tilapia,NA,1.2,6
2014,2,Peixe Ósseo,Tira-vira,Brazilian flathead,Percophis brasiliensis,2352,4756.3
2014,2,Peixe Ósseo,Tortinha,Bigtooth corvina,Isopisthus parvipinnis,90,7
2014,2,Peixe Ósseo,Traíra,Traíra,NA,348.5,2184.5
2014,2,Peixe Ósseo,Trilha,Argentine goatfish,Mullus argentinae,5003.6,9097.6
2014,2,Peixe Ósseo,Trombeta,Trombeta,NA,700,2100
2014,2,Peixe Ósseo,Vento-leste,Vento-leste,NA,131.5,394.5
2014,2,Peixe Ósseo,Vermelho,Snapper,Lutjanus spp.,140.3,1126.5
2014,2,Peixe Ósseo,Xarelete,Black jack,Caranx latus,147,540.25
2014,2,Peixe Ósseo,Xaréu,Black cavalli,Caranx hippos,414.8,3449
2014,2,Peixe Ósseo,Xaréu-branco,Jack,NA,234,2121.5
2014,2,Peixe Ósseo,Xixarro,Jack mackerel,Trachurus lathami,256,384
2014,2,,,#N/A,#N/A,0,0
2014,3,Crustáceo,Camarão-cristalino,Shrimp,NA,3790,18690
2014,3,Crustáceo,Camarão-estuarino,Shrimp,NA,3365.16,62604.15
2014,3,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,251.86,1825.85
