"year","common_name","scientific_name","fishing_entity","fishing_sector","Total_tonnes","Landings_Value"
1953,"Sharks, rays, skates","Elasmobranchii","Brazil","Subsistence",6.798529092,17179.883015484
1953,"Skates and rays","Rajiformes","Peru","Subsistence",59.4909279683,33493.3924461721
1953,"Skipjack tuna","Katsuwonus pelamis","Peru","Subsistence",2.814422349,1553.56113664801
1953,"Spiny lobsters","Panulirus","Chile","Subsistence",0.2718348553,766.302457217406
1953,"Swimming crabs","Portunidae","Brazil","Subsistence",13.4840325019,19767.5916477854
1953,"Tilefishes","Malacanthidae","Peru","Subsistence",101.7791195828,34401.3424189884
1953,"Warehous, butterfishes","Seriolella","Peru","Subsistence",153.1720444242,77045.5383453807
1953,"Weakfishes","Cynoscion","Brazil","Subsistence",72.2421303162,317865.37339128
1953,"Whitemouth croaker","Micropogonias furnieri","Brazil","Subsistence",8.0410786348,36152.6895420608
1953,"Yellowtail amberjack","Seriola lalandi","Chile","Subsistence",5.24745,6952.87125
1954,"Argentine hake","Merluccius hubbsi","Brazil","Subsistence",1.6792128681,910.1333745102
1954,"Basses, groupers, hinds","Serranidae","Peru","Subsistence",6.4867164907,3541.74720389844
1954,"Black jack","Caranx lugubris","Chile","Subsistence",0.4950711381,284.170833243803
1954,"Bluefish","Pomatomus saltatrix","Brazil","Subsistence",0.0598959535,324.8157558305
1954,"Cabinza grunt","Isacia conceptionis","Peru","Subsistence",7.2088564757,1888.7203966245
1954,"Chilean jack mackerel","Trachurus murphyi","Chile","Subsistence",2.2945,1014.169
1954,"Chilean jack mackerel","Trachurus murphyi","Peru","Subsistence",0.2459719887,26.8109467726791
1954,"Chilean ribbed mussel","Aulacomya ater","Peru","Subsistence",19.1591084857,13353.8986145069
1954,"Chilean silverside","Odontesthes regia","Peru","Subsistence",12.8300801307,4644.48900731003
1954,"Chub mackerel","Scomber japonicus","Peru","Subsistence",27.4265540867,4086.55655892556
1954,"Clams, seasnails, squids, octopuses","Mollusca","Peru","Subsistence",9.8214621783,2435.72262020759
1954,"Cods","Gadiformes","Brazil","Subsistence",1.2209933883,2039.058958461
1954,"Commercial shrimps and prawns","Penaeidae","Brazil","Subsistence",36.7342422769,181834.499270655
1954,"Common octopus","Octopus vulgaris","Brazil","Subsistence",4.4321428571,9861.5178570475
1954,"Crabs, lobsters, shrimps","Decapoda","Brazil","Subsistence",10.0730519481,14767.0941559146
1954,"Drums, croakers","Sciaenidae","Brazil","Subsistence",0.100530145,280.07698397
1954,"Drums, croakers","Sciaenidae","Peru","Subsistence",222.7972085265,76419.4425245748
1954,"Eastern Pacific bonito","Sarda chiliensis","Peru","Subsistence",1771.9272454013,547525.518828998
1954,"Finfishes","Marine finfishes not identified","Chile","Subsistence",0.759109078,1112.853908348
1954,"Flathead grey mullet","Mugil cephalus","Peru","Subsistence",16.3063867583,6065.9758740802
1954,"Galapagos shark","Carcharhinus galapagensis","Chile","Subsistence",0.0330047425,36.2722120481928
1954,"Grey mullets","Mugil","Brazil","Subsistence",89.4930165021,260066.705955103
1954,"Hapuka","Polyprion oxygeneios","Chile","Subsistence",2.2945,5841.797
