"Taxon.Key","FAO_Name","MatchName","SAU_name","Species","Country","Year","Aquaculture","Capture","Exports","Imports","Production","DHC_Use","FMFO_Use","Other_Use","Discards"
NA,"Characins.nei",NA,NA,"Characins.nei","Brazil","X2012",0,15952,0,0,0,NA,NA,NA,NA
NA,"Characins.nei",NA,NA,"Characins.nei","Brazil","X2013",0,16087,0,0,0,NA,NA,NA,NA
NA,"Characins.nei",NA,NA,"Characins.nei","Brazil","X2014",0,15883,0,0,0,NA,NA,NA,NA
NA,"Characins.nei",NA,NA,"Characins.nei","Brazil","X2015",0,15200,0,0,0,NA,NA,NA,NA
NA,"Characins.nei",NA,NA,"Characins.nei","Brazil","X2016",0,15200,0,0,0,NA,NA,NA,NA
NA,"Cichlids.nei",NA,NA,"Cichlids.nei","Brazil","X2010",0,13693,0,0,0,NA,NA,NA,NA
NA,"Cichlids.nei",NA,NA,"Cichlids.nei","Brazil","X2011",0,12912,0,0,0,NA,NA,NA,NA
NA,"Cichlids.nei",NA,NA,"Cichlids.nei","Brazil","X2012",0,13013,0,0,0,NA,NA,NA,NA
NA,"Cichlids.nei",NA,NA,"Cichlids.nei","Brazil","X2013",0,13123,0,0,0,NA,NA,NA,NA
NA,"Cichlids.nei",NA,NA,"Cichlids.nei","Brazil","X2014",0,12956,0,0,0,NA,NA,NA,NA
NA,"Cichlids.nei",NA,NA,"Cichlids.nei","Brazil","X2015",0,12400,0,0,0,NA,NA,NA,NA
NA,"Cichlids.nei",NA,NA,"Cichlids.nei","Brazil","X2016",0,12400,0,0,0,NA,NA,NA,NA
NA,"Cold.water.shrimps.and.prawns.Pandalus.spp.Crangon.spp..whether.in.shell.or.not.frozen",NA,NA,"Cold.water.shrimps.and.prawns.Pandalus.spp.Crangon.spp..whether.in.shell.or.not.frozen","Brazil","X2015",0,0,48,0,0,NA,NA,NA,NA
NA,"Cold.water.shrimps.and.prawns.Pandalus.spp.Crangon.spp..whether.in.shell.or.not.frozen",NA,NA,"Cold.water.shrimps.and.prawns.Pandalus.spp.Crangon.spp..whether.in.shell.or.not.frozen","Brazil","X2016",0,0,24,0,0,NA,NA,NA,NA
NA,"Dorado",NA,NA,"Dorado","Brazil","X2010",0,3162,0,0,0,NA,NA,NA,NA
NA,"Dorado",NA,NA,"Dorado","Brazil","X2011",134,2981,0,0,0,NA,NA,NA,NA
NA,"Dorado",NA,NA,"Dorado","Brazil","X2012",146,3005,0,0,0,NA,NA,NA,NA
NA,"Dorado",NA,NA,"Dorado","Brazil","X2013",139,3030,0,0,0,NA,NA,NA,NA
NA,"Dorado",NA,NA,"Dorado","Brazil","X2014",40,2992,0,0,0,NA,NA,NA,NA
NA,"Dorado",NA,NA,"Dorado","Brazil","X2015",30,2870,0,0,0,NA,NA,NA,NA
NA,"Dorado",NA,NA,"Dorado","Brazil","X2016",60,2870,0,0,0,NA,NA,NA,NA
NA,"Duckbill.catfish",NA,NA,"Duckbill.catfish","Brazil","X2010",0,231,0,0,0,NA,NA,NA,NA
NA,"Duckbill.catfish",NA,NA,"Duckbill.catfish","Brazil","X2011",0,217,0,0,0,NA,NA,NA,NA
NA,"Duckbill.catfish",NA,NA,"Duckbill.catfish","Brazil","X2012",0,219,0,0,0,NA,NA,NA,NA
