"species","year","tons","sc_name","en_name","group","en_group"
"SALMON PLATEADO","2015",154109,"Oncorhynchus kisutch","Coho salmon","salmon","Salmon"
"SALMON REY","2015",NA,"Oncorhynchus tshawytscha","Chinook salmon","salmon","Salmon"
"SARDINA","2015",395,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARDINA AUSTRAL","2015",31393,"Sprattus fuegensis","Falkland sprat","sardina","Sprat and herring"
"SARDINA COMUN","2015",435863,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARGO","2015",5,"Anisotremus scapularis","Peruvian grunt","pescado_otros","Fish"
"SIERRA","2015",3518,"Thyrsites atun","Snoek","tiburon","Shark"
"TOLLO","2015",421,"Mustelus mento","Speckled smooth-hound","tiburon","Shark"
"TOLL0 DE CACHOS","2015",1,"Squalus acanthias","Picked dogfish","tiburon","Shark"
"TOMOYO","2015",NA,"Labrisomus philippii","Chalapo clinid","pescado_otros","Fish"
"TRUCHA ARCOIRIS","2015",107109,"Oncorhynchus mykiss","Rainbow trout","trucha","Trout"
"TURBOT","2015",4,"Scophtalmus maximus","Turbot","pescado_otros","Fish"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","2015",561,"Seriola lalandi","Yellowtail amberjack","pescado_otros","Fish"
"VIEJA O MULATA","2015",6,"Graus nigra","Vieja","pescado_otros","Fish"
"OTROS PESCADOS","2015",104,"Fish","Fish","pescado_otros","Fish"
"ACHA","2016",1,"Medialuna ancietae","Sea Chab","pescado_otros","Fish"
"AGUJILLA","2016",244,"Scomberesox saurus scombroides","King gar","pescado_otros","Fish"
"ALBACORA","2016",6928,"Xiphias gladius","Swordfish","atunes","Tuna"
"ALFONSINO","2016",NA,"Beryx splendens","Splendid alfonsino","pescado_otros","fish"
"ANCHOVETA","2016",337436,"Engraulis ringens","Anchoveta","pescado_otros","Fish"
"ANCHOVETA BLANCA","2016",NA,"Anchoa nasus","Longnose anchovy","pescado_otros","Fish"
"ANGUILA","2016",55,"Ophichthus spp.","eel","anguila","Eel"
"APANADO","2016",4,"Hemilutjanus macrophthalmos","Grape-eye seabass","pescado_otros","Fish"
"ATUN ALETA AMARILLA","2016",29,"Thunnus albacares","Yellowfin tuna","atunes","Tuna"
"ATUN ALETA LARGA","2016",4,"Thunnus alalunga","Albacore","atunes","Tuna"
"ATUN OJOS GRANDES","2016",6,"Thunnus obesus","Bigeye tuna","atunes","Tuna"
"AYANQUE","2016",NA,"Cynoscion analis","Peruvian weakfish","pescado_otros","Fish"
"AZULEJO","2016",183,"Prionace glauca","Blue shark","tiburon","Shark"
"BACALADILLO O MOTE","2016",20169,"Normanichthys crockeri","Mote sculpin","pescado_otros","Fish"
"BACALAO DE J. FERNANDEZ","2016",NA,"Polyprion oxygeneios","Hapuku wreckfish","pescado_otros","Fish"
"BACALAO DE PROFUNDIDAD","2016",5271,"Dissostichus eleginoides","Patagonian toothfish","pescado_otros","Fish"
"BESUGO","2016",NA,"Epigonus crassicaudus","BESUGO","pescado_otros","Fish"
"BLANQUILLO","2016",45,"Prolatilus jugularis","Pacific sandperch","pescado_otros","Fish"
"BONITO","2016",257,"Sarda chiliensis","Eastern Pacific bonito","bonito","Bonito"
"BRECA O BILAGAY","2016",57,"Cheilodactylus variegatus","Peruvian morwong","pescado_otros","Fish"
"BROTULA","2016",536,"Salilota australis","Tadpole codling","pescado_otros","Fish"
"CABALLA","2016",58583,"Scomber japonicus","Chub mackerel","caballa","Caballa"
"CABINZA","2016",22,"Isacia conceptionis","Cabinza grunt","pescado_otros","Fish"
"CABRILLA","2016",155,"Paralabrax humeralis","Peruvian rock seabass","pescado_otros","Fish"
"CACHURRETA","2016",NA,"Katsuwonus pelamis","Skipjack tuna","atunes","Tuna"
"CAZON","2016",NA,"Galeorhinus galeus","Tope shark","tiburon","Shark"
"CHANCHARRO","2016",129,"Helicolenus lengerichi","Rockfish helicolenus","pescado_otros","Fish"
"COCHINILLA","2016",31,"Navodon Paschalis","Navodon","pescado_otros","Fish"
"COJINOBA","2016",6936,"Seriolella ","Warehou","pescado_otros","Fish"
